date,site,depth,ind,fertile,frond_mass,primary_length,primary_width,frond_length,stipe_mass,stipe_length,stipe_circ,tufts,epi_length,total_length
17-03-2018,St_James,1m,1,No,2.4,12,5.5,163.7,0.56,127,11.5,4,0,143
17-03-2018,St_James,1m,2,No,1.9,10.6,9.5,136,0.55,156,22,4,0,292
17-03-2018,St_James,1m,3,no,3.4,14,6.2,126.5,1.1,157,14.5,5,0,283.5
17-03-2018,St_James,1m,4,No,2.2,18,14.2,106,0.8,89,21,4,0,195
17-03-2018,St_James,1m,5,No,1.52,9.9,5.3,105.5,0.4,88.3,10.7,5,0,193.8
17-03-2018,St_James,1m,6,No,2.5,17.2,4.8,123,1.52,150,10,8,0,273
17-03-2018,St_James,1m,7,No,4.1,17,9.5,177,1.3,179,21.5,4,0,356
17-03-2018,St_James,1m,8,No,4.3,15,9,150,1.0,141,20.5,4,0,291
17-03-2018,St_James,1m,9,No,1.54,15,8,178,0.52,105.8,19.5,3,0,283.8
17-03-2018,St_James,1m,10,No,4.4,16.3,6.6,153,1.3,198,15.9,4,0,351
17-03-2018,St_James,1m,11,No,4.1,18.2,10.2,129,0.8,133,21,3,0,262
17-03-2018,St_James,1m,12,No,3.8,13.7,8.3,143,0.8,116,15.5,3,0,259
17-03-2018,St_James,1m,13,No,3,18.8,9,152,1,145,18,4,0,297
05-04-2018,Oudekraal,1m,1,Yes,4.2,27,14,170,0.6,74,18,6,0,344
05-04-2018,Oudekraal,1m,2,Yes,3.3,30,14,167,0.65,54,24,4,0,221
05-04-2018,Oudekraal,1m,3,Yes,3.25,22,9,153,0.8,113,17,5,0,266
05-04-2018,Oudekraal,1m,4,No,0.45,25,6,46,0.2,50,9,6,0,96
05-04-2018,Oudekraal,1m,5,Yes,2.45,20,15,110,0.4,55,19,4,0,165
05-04-2018,Oudekraal,1m,6,Yes,2.9,22,7,111,0.75,127,13,7,0,238
05-04-2018,Oudekraal,1m,7,No,3.65,19,6,111,0.7,122,13,5,0,233
05-04-2018,Oudekraal,1m,8,Yes,3.65,22,12,134,3.6,72,16,5,0,206
05-04-2018,Oudekraal,1m,9,Yes,4.6,23,11,137,0.85,93,16,5,0,230
05-04-2018,Oudekraal,1m,10,Yes,5.2,15,22,128,0.7,56,22,3,0,184
05-04-2018,Oudekraal,1m,11,No,2.5,14,6,151,0.7,134,12,4,0,285
05-04-2018,Oudekraal,1m,12,No,1.5,25,8,160,0.45,75,12,5,0,235
05-04-2018,Oudekraal,1m,13,No,1.65,25,6,117,0.45,96,11,6,0,213
05-04-2018,Bakoven,1m,1,No,1.1,13,16,95,0.5,84,15,5,0,179
05-04-2018,Bakoven,1m,2,No,0.85,17,6,86,0.3,68,8,4,0,154
05-04-2018,Bakoven,1m,3,No,1.25,23,5,125,0.6,120,10,6,0,245
05-04-2018,Bakoven,1m,4,Yes,1.25,16,11,92,0.7,92,19,4,0,184
05-04-2018,Bakoven,1m,5,No,2.4,18,7,156,0.55,120,13,5,0,276
05-04-2018,Bakoven,1m,6,No,1.26,22,5,123,0.25,75,10,6,0,198
05-04-2018,Bakoven,1m,7,Yes,0.7,25,5,136,0.5,146,9,7,0,282
05-04-2018,Bakoven,1m,8,Yes,1.3,21,5,115,0.4,95,10,6,0,210
05-04-2018,Bakoven,1m,9,No,1.4,18,6,96,0.4,72,11,5,0,168
05-04-2018,Bakoven,1m,10,No,2.35,16,11,107,0.5,77,14,4,0,184
05-04-2018,Bakoven,1m,11,No,0.9,25,5,150,0.25,78,10,7,0,228
05-04-2018,Bakoven,1m,12,No,0.6,23,5,86,0.25,59,10,7,0,145
05-04-2018,Bakoven,1m,13,No,0.35,19,5,73,0.2,58,8,5,0,131
10-04-2018,Yzerfontein,1m,1,Yes,4,18,89,103,0.7,80,17,5,55,183
10-04-2018,Yzerfontein,1m,2,Yes,3.43,16,8,131,0.7,103,15,4,0,234
10-04-2018,Yzerfontein,1m,3,No,2.1,14,8,141,0.55,76,16,5,21,217
10-04-2018,Yzerfontein,1m,4,Yes,2.8,16,6,158,0.6,123,14,4,139,281
10-04-2018,Yzerfontein,1m,5,Yes,3.25,19,7,119,0.55,67,17,6,11,186
10-04-2018,Yzerfontein,1m,6,No,1.35,16,5,115,0.45,106,11,4,20,221
10-04-2018,Yzerfontein,1m,7,No,3.4,22,7,155,0.65,84,17,4,84,239
10-04-2018,Yzerfontein,1m,8,Yes,1.35,16,6,134,0.4,73,12,4,73,207
10-04-2018,Yzerfontein,1m,9,Yes,4.05,31,9,188,0.9,100,17,7,45,288
10-04-2018,Yzerfontein,1m,10,Yes,3.9,18,7,152,0.9,177,17,4,57,329
10-04-2018,Yzerfontein,1m,11,No,1.95,18,4,98,0.35,103,9,4,20,201
10-04-2018,Yzerfontein,1m,12,Yes,4.25,21,8,187,0.7,87,16,5,87,274
10-04-2018,Yzerfontein,1m,13,Yes,1.5,18,5,111,0.4,97,11,5,30,208
04-05-2018,Miller`s_A,1m,1,Yes,1.8,22,17,150,1.35,185,17,4,185,335
04-05-2018,Miller`s_A,1m,2,Yes,1.65,21,8,99,1.55,185,13,5,185,284
04-05-2018,Miller`s_A,1m,3,Yes,2.95,16,15,115,1.7,158,24,4,158,273
04-05-2018,Miller`s_A,1m,4,Yes,1.85,18,13,108,1.6,193,22,4,0,301
04-05-2018,Miller`s_A,1m,5,Yes,1.5,8,7,92,0.8,135,13,2,135,13,2,0,227
04-05-2018,Miller`s_A,1m,6,Yes,0.45,9,8,84,0.8,78,14,3,78,162
04-05-2018,Miller`s_A,1m,7,Yes,2.95,8,7,144,1,179,13,3,179,323
04-05-2018,Miller`s_A,1m,8,Yes,0.5,9,10,113,0.8,213,16,2,213,326
04-05-2018,Miller`s_A,1m,9,Yes,2.7,13,10,127,0.95,162,17,2,162,4,289
04-05-2018,Miller`s_A,1m,10,Yes,1.4,17,14,120,1.6,156,23,3,156,176
04-05-2018,Miller`s_A,1m,11,Yes,1.3,13,13,109,0.8,182,19,2,0,291
04-05-2018,Miller`s_A,1m,12,Yes,1.2,18,12,125,1.2,167,20,3,0,292
04-05-2018,Miller`s_A,1m,13,Yes,1.5,10,6,124,0.65,123,11,3,0,147
04-05-2018,Miller`s_A,1m,14,Yes,2.5,16,9,123,1.55,162,15,5,162,285
04-05-2018,Miller`s_A,1m,15,Yes,1.3,17,13,91,1.2,182,21,3,182,273
04-05-2018,Miller`s_B,1m,1,Yes,0.85,6,4,127,0.6,126,15,3,126,303
04-05-2018,Miller`s_B,1m,2,Yes,1.7,13,10,120,0.85,117,17,3,117,237
04-05-2018,Miller`s_B,1m,3,Yes,1.95,15,10,177,0.95,131,22,2,131,308
04-05-2018,Miller`s_B,1m,4,Yes,1.4,16,8,115,0.75,130,14,3,130,245
04-05-2018,Miller`s_B,1m,5,Yes,2.3,22,11,148,1,127,22,2,127,275
04-05-2018,Miller`s_B,1m,6,Yes,1.7,18,11,107,0.7,122,17,3,122,229
04-05-2018,Miller`s_B,1m,7,Yes,3.25,21,25,129,1.2,144,22,3,144,273
04-05-2018,Miller`s_B,1m,8,Yes,1.2,11,5,115,0.3,73,7,2,0,188
04-05-2018,Miller`s_B,1m,9,Yes,1.6,19,12,146,0.95,135,16,3,135,281
04-05-2018,Miller`s_B,1m,10,Yes,0.95,12,10,189,0.8,144,18,3,144,333
04-05-2018,Miller`s_B,1m,11,Yes,1.85,15,9,155,0.6,110,17,4,110,265
04-05-2018,Miller`s_B,1m,12,Yes,2,17,14,98,0.75,112,19,4,112,210
04-05-2018,Miller`s_B,1m,13,Yes,1.7,11,10,118,0.6,80,17,3,0,198
04-05-2018,Miller`s_C,1m,1,Yes,1.4,22,12,140,0.8,118,16,3,118,258
04-05-2018,Miller`s_C,1m,2,Yes,3.4,15,12,150,1.3,181,21,3,181,331
04-05-2018,Miller`s_C,1m,3,Yes,2.25,14,12,154,1,117,24,2,117,271
04-05-2018,Miller`s_C,1m,4,Yes,1.35,14,12,127,0.75,105,16,2,105,232
04-05-2018,Miller`s_C,1m,5,Yes,3.05,10,9,150,1.2,131,16,3,131,281
04-05-2018,Miller`s_C,1m,6,Yes,2,12,9,155,0.95,150,19,3,150,305
04-05-2018,Miller`s_C,1m,7,Yes,1,15,8,112,0.8,141,14,4,141,253
04-05-2018,Miller`s_C,1m,8,Yes,2.05,15,7,110,1,166,15,3,166,276
04-05-2018,Miller`s_C,1m,9,Yes,1,14,11,83,0.65,118,13,3,118,201
04-05-2018,Miller`s_C,1m,10,Yes,1.05,24,18,113,1,134,14,4,134,247
04-05-2018,Miller`s_C,1m,11,Yes,1.9,18,8,130,0.9,100,14,4,100,230
04-05-2018,Miller`s_C,1m,12,Yes,1.4,14,7,122,1.1,138,16,2,138,260
