date,site,depth,ind,fertile,frond_mass,primary_length,primary_width,frond_length,stipe_mass,stipe_length,stipe_circ,tufts,epi_length,total_length
17-03-2018,St_James,deep/adult,1,No,2.4,12,5.5,163.7,0.56,127,11.5,4,0,302.7
17-03-2018,St_James,deep/adult,2,No,1.9,10.6,9.5,136,0.55,156,22,4,0,302.6
17-03-2018,St_James,deep/adult,3,No,3.4,14,6.2,126.5,1.1,157,14.5,5,0,297.5
17-03-2018,St_James,deep/adult,4,No,2.2,18,14.2,106,0.8,89,21,4,0,213
17-03-2018,St_James,deep/adult,5,No,1.52,9.9,5.3,105.5,0.4,88.3,10.7,5,0,203.7
17-03-2018,St_James,deep/adult,6,No,2.5,17.2,4.8,123,1.52,150,10,8,0,290.2
17-03-2018,St_James,deep/adult,7,No,4.1,17,9.5,177,1.3,179,21.5,4,0,373
17-03-2018,St_James,deep/adult,8,No,4.3,15,9,150,1,141,20.5,4,0,306
17-03-2018,St_James,deep/adult,9,No,1.54,15,8,178,0.52,105.8,19.5,3,0,298.8
17-03-2018,St_James,deep/adult,10,No,4.4,16.3,6.6,153,1.3,198,15.9,4,0,367.3
17-03-2018,St_James,deep/adult,11,No,4.1,18.2,10.2,129,0.8,133,21,3,0,280.2
17-03-2018,St_James,deep/adult,12,No,3.8,13.7,8.3,143,0.8,116,15.5,3,0,272.7
05-04-2018,Oudekraal,deep/adult,1,Yes,4.2,27,14,170,0.6,74,18,6,0,271
05-04-2018,Oudekraal,deep/adult,2,Yes,3.3,30,14,167,0.65,54,24,4,0,251
05-04-2018,Oudekraal,deep/adult,3,Yes,3.25,22,9,153,0.8,113,17,5,0,288
05-04-2018,Oudekraal,deep/adult,4,No,0.45,25,6,46,0.2,50,9,6,0,121
05-04-2018,Oudekraal,deep/adult,5,Yes,2.45,20,15,110,0.4,55,19,4,0,185
05-04-2018,Oudekraal,deep/adult,6,Yes,2.9,22,7,111,0.75,127,13,7,0,260
05-04-2018,Oudekraal,deep/adult,7,No,3.65,19,6,111,0.7,122,13,5,0,252
05-04-2018,Oudekraal,deep/adult,8,Yes,3.65,22,12,134,3.6,72,16,5,0,228
05-04-2018,Oudekraal,deep/adult,9,Yes,4.6,23,11,137,0.85,93,16,5,0,253
05-04-2018,Oudekraal,deep/adult,10,Yes,5.2,15,22,128,0.7,56,22,3,0,199
05-04-2018,Oudekraal,deep/adult,11,No,2.5,14,6,151,0.7,134,12,4,0,299
05-04-2018,Oudekraal,deep/adult,12,No,1.5,25,8,160,0.45,75,12,5,0,260
05-04-2018,Bakoven,deep/adult,1,No,1.1,13,16,95,0.5,84,15,5,0,192
05-04-2018,Bakoven,deep/adult,2,No,0.85,17,6,86,0.3,68,8,4,0,171
05-04-2018,Bakoven,deep/adult,3,No,1.25,23,5,125,0.6,120,10,6,0,268
05-04-2018,Bakoven,deep/adult,4,Yes,1.25,16,11,92,0.7,92,19,4,0,200
05-04-2018,Bakoven,deep/adult,5,No,2.4,18,7,156,0.55,120,13,5,0,294
05-04-2018,Bakoven,deep/adult,6,No,1.26,22,5,123,0.25,75,10,6,0,220
05-04-2018,Bakoven,deep/adult,7,Yes,0.7,25,5,136,0.5,146,9,7,0,307
05-04-2018,Bakoven,deep/adult,8,Yes,1.3,21,5,115,0.4,95,10,6,0,231
05-04-2018,Bakoven,deep/adult,9,No,1.4,18,6,96,0.4,72,11,5,0,186
05-04-2018,Bakoven,deep/adult,10,No,2.35,16,11,107,0.5,77,14,4,0,200
05-04-2018,Bakoven,deep/adult,11,No,0.9,25,5,150,0.25,78,10,7,0,253
05-04-2018,Bakoven,deep/adult,12,No,0.6,23,5,86,0.25,59,10,7,0,168
10-04-2018,Yzerfontein,deep/adult,1,Yes,4,18,9,103,0.7,80,17,5,1,201
10-04-2018,Yzerfontein,deep/adult,2,Yes,3.43,16,8,131,0.7,103,15,4,0,250
10-04-2018,Yzerfontein,deep/adult,3,No,2.1,14,8,141,0.55,76,16,5,1,231
10-04-2018,Yzerfontein,deep/adult,4,Yes,2.8,16,6,158,0.6,123,14,4,1,297
10-04-2018,Yzerfontein,deep/adult,5,Yes,3.25,19,7,119,0.55,67,17,6,1,205
10-04-2018,Yzerfontein,deep/adult,6,No,1.35,16,5,115,0.45,106,11,4,1,237
10-04-2018,Yzerfontein,deep/adult,7,No,3.4,22,7,155,0.65,84,17,4,1,261
10-04-2018,Yzerfontein,deep/adult,8,Yes,1.35,16,6,134,0.4,73,12,4,1,223
10-04-2018,Yzerfontein,deep/adult,9,Yes,4.05,31,9,188,0.9,100,17,7,1,319
10-04-2018,Yzerfontein,deep/adult,10,Yes,3.9,18,7,152,0.9,177,17,4,1,347
10-04-2018,Yzerfontein,deep/adult,11,No,1.95,18,4,98,0.35,103,9,4,1,219
10-04-2018,Yzerfontein,deep/adult,12,Yes,4.25,21,8,187,0.7,87,16,5,1,295
04-05-2018,Miller`s_A,deep/adult,1,Yes,1.8,22,17,150,1.35,185,17,4,1,357
04-05-2018,Miller`s_A,deep/adult,2,Yes,1.65,21,8,99,1.55,185,13,5,1,305
04-05-2018,Miller`s_A,deep/adult,3,Yes,2.95,16,15,115,1.7,158,24,4,1,289
04-05-2018,Miller`s_A,deep/adult,4,Yes,1.85,18,13,108,1.6,193,22,4,0,319
04-05-2018,Miller`s_A,deep/adult,5,Yes,1.5,8,7,92,0.8,135,13,2,0,235
04-05-2018,Miller`s_A,deep/adult,6,Yes,0.45,9,8,84,0.8,78,14,3,1,171
04-05-2018,Miller`s_A,deep/adult,7,Yes,2.95,8,7,144,1,179,13,3,1,331
04-05-2018,Miller`s_A,deep/adult,8,Yes,0.5,9,10,113,0.8,213,16,2,1,335
04-05-2018,Miller`s_A,deep/adult,9,Yes,2.7,13,10,127,0.95,162,17,2,1,302
04-05-2018,Miller`s_A,deep/adult,10,Yes,1.4,17,14,120,1.6,156,23,3,1,293
04-05-2018,Miller`s_A,deep/adult,11,Yes,1.3,13,13,109,0.8,182,19,2,0,304
04-05-2018,Miller`s_A,deep/adult,12,Yes,1.2,18,12,125,1.2,167,20,3,0,310
04-05-2018,Miller`s_B,deep/adult,1,Yes,0.85,6,4,127,0.6,126,15,3,1,259
04-05-2018,Miller`s_B,deep/adult,2,Yes,1.7,13,10,120,0.85,117,17,3,1,250
