region,site ,long,lat,,5m ,7m 
false_bay,St_James_N,18.466656,-34.113217,,FBC236,FB177
false_bay,St James ,18.46015,-34.118094,,FB232,FB173/4
false_bay,St_James_S,18.459737,-34.119262,,FBC231,FB173
false_bay,Kalk_Bay,18.449465,-34.130201,,FBC216,FB165/6
false_bay,Miller`s_A,18.475089,-34.233606,,FBC96,FB085
false_bay,Miller`s_B,18.474855,-34.234379,,FBC95,FB084
false_bay,Miller`s_C,18.476115,-34.231768,,FBC99,FB087
false_bay,Black_rocks,18.462159,-34.309134,,FBC40,FB041/2
false_bay,Buffels,18.462821,-34.322094,,FBC30,FB032
west_coast,Olifantsbos,18.380981,-34.258224,,TBC263,TB044
west_coast,Soetwater,18.344209,-34.178964,,TBC238,TB062
west_coast,Slangkop,18.318537,-34.147874,,TBC228,TB071
west_coast,Kommetjie,18.322878,-34.137589,,TBC224,TB074/5
west_coast,Oudekraal,18.346194,-33.984972,,TBC152,TB127
west_coast,Bakoven,18.375025,-33.955275,,TBC139,TB133
west_coast,Yzerfontein,18.147258,-33.35357,,range does not extend this far. ,
