date,site,depth,ind,fertile,frondMass,primaryLength,primaryWidth,frondLength,stipeMass,stipeLength,stipeCirc,tufts,totalLength,
2015/03/25,Miller's Point,deepest/adult,1,NA,2.25,17,11,170,5.25,531,17,10,701,
2015/03/25,Miller's Point,deepest/adult,2,NA,1.6,12,7.5,126,5.25,482,14,7,608,
2015/03/25,Miller's Point,deepest/adult,3,NA,1.75,15,9,137,5,455,15,8,592,
2015/03/25,Miller's Point,deepest/adult,4,NA,1.3,25,13,144,5.25,509,20,10,653,
2015/03/25,Miller's Point,deepest/adult,5,NA,2.75,22,21,144,5,574,30,8,718,
2015/03/25,Miller's Point,deepest/adult,6,NA,1.3,17,8,160,4.25,439,15,8,599,
2015/03/25,Miller's Point,deepest/adult,7,NA,5.2,25,22,192,7.25,493,25,9,685,
2015/03/25,Miller's Point,deepest/adult,8,NA,2.25,19,10,174,4,386,17,9,560,
2015/03/25,Miller's Point,deepest/adult,9,NA,2.75,14,10,196,5.7,549,18,8,745,
2015/03/25,Miller's Point,deepest/adult,10,NA,2.5,NA,16,173,6.2,480,22,NA,653,
2015/03/25,Miller's Point,deepest/adult,11,NA,2.25,19,13,200,6,523,18,NA,723,
2015/04/09,Kalk_Bay,deepest/adult,1,yes,5.25,19,14,145,6,490,25.5,9,635,
2015/04/09,Kalk_Bay,deepest/adult,2,yes,2.6,15,12,132,5.2,377,19,8,509,
2015/04/09,Kalk_Bay,deepest/adult,3,no,0.8,14,7,76,4.3,284,15.5,7,360,
2015/04/09,Kalk_Bay,deepest/adult,4,no,1.3,11,7,84,5,391,16,6,475,
2015/04/09,Kalk_Bay,deepest/adult,5,no,0.7,11.5,7.5,88,4.5,341,16.5,6,429,
2015/04/09,Kalk_Bay,deepest/adult,6,yes,3.35,15,19,146,4.5,286,34,5,432,
2015/04/09,Kalk_Bay,deepest/adult,7,no,3.25,14,13.5,165,4.25,281,24,7,446,
2015/04/09,Kalk_Bay,deepest/adult,8,yes,2.5,16,12,152,6.4,486,20.5,6,638,
2015/04/09,Kalk_Bay,deepest/adult,9,no,1.4,8,8,94,4.5,305,15.5,4,399,
2015/04/09,Kalk_Bay,deepest/adult,10,yes,0.55,17,8,52,4.05,323,14.5,8,375,
2015/04/09,Kalk_Bay,deepest/adult,11,no,1.5,15,9,117,1.25,322,19,9,439,
2015/04/09,Kalk_Bay,deepest/adult,12,yes,3.9,14,13,148,7.25,461,23,6,609,
2015/10/16,Oudekraal,deepest/adult,1,NA,2.15,27,20,115,4.4,279,31,5,394,
2015/10/16,Oudekraal,deepest/adult,2,NA,3.3,16,13,150,2.7,310,21,6,460,
2015/10/16,Oudekraal,deepest/adult,3,NA,4.9,14,11,220,2.2,294,20,5,514,
2015/10/16,Oudekraal,deepest/adult,4,NA,1.45,15,15,85,4.6,330,24,3,415,
2015/10/16,Oudekraal,deepest/adult,5,NA,2.25,25,19,173,4.35,309,27,6,482,
2015/10/16,Oudekraal,deepest/adult,6,NA,3.85,16,11,169,1.6,282,23,6,451,
2015/10/16,Oudekraal,deepest/adult,7,NA,2,23,11,147,1.85,300,21,4,447,
2015/10/16,Oudekraal,deepest/adult,8,NA,3.55,15,8,172,1.85,238,14,6,410,
2015/10/16,Oudekraal,deepest/adult,9,NA,4.2,28,16,178,4.05,326,26,6,504,
2015/10/16,Oudekraal,deepest/adult,10,NA,2.35,17,8,168,2,307,15,6,475,
2015/10/16,Oudekraal,deepest/adult,11,NA,2.75,24,12,172,2.2,281,22,6,453,
2015/10/16,Oudekraal,deepest/adult,12,NA,3.35,13,13,160,2.2,230,29,4,390,
2015/10/16,Oudekraal,deepest/adult,13,NA,2.25,17,8,144,1.6,263,13,7,407,
2016/09/19,Soetwater,deepest/adult,1,NA,10,19,19,236,8.6,526,37.3,7,545,
2016/09/19,Soetwater,deepest/adult,2,NA,2.4,16.8,9,175,6.3,463,22.1,7,479.8,
2016/09/19,Soetwater,deepest/adult,3,NA,1.85,20,9.5,192.6,4.75,423.5,19.2,8,443.5,
2016/09/19,Soetwater,deepest/adult,4,NA,5.91,23.1,13,162,6.2,593,28.9,7,616.1,
2016/09/19,Soetwater,deepest/adult,5,NA,11.2,28,17,212,9.6,563,30.5,9,591,
2016/09/19,Soetwater,deepest/adult,6,NA,5.9,46.7,21,210,8.6,564,35.3,15,610.7,
2016/09/19,Soetwater,deepest/adult,7,NA,4.7,21.5,14,335,6.7,676,33.2,8,697.5,
2016/09/19,Soetwater,deepest/adult,8,NA,5.3,49.5,22,245,6.95,417,32,13,466.5,
2016/09/19,Soetwater,deepest/adult,9,NA,4.7,24,18,196.3,7.3,640,36,7,664,
2016/09/19,Soetwater,deepest/adult,10,NA,7.4,35,16,211,6.7,542,39,10,577,
2016/09/19,Soetwater,deepest/adult,11,NA,3.8,28,10,183,6.9,651,22,10,679,
2016/09/19,Soetwater,deepest/adult,12,NA,6.7,37.5,25,247,7.1,609,34,10,646.5,
2016/09/19,Soetwater,deepest/adult,13,NA,9.9,22,15,219,8.3,589,30,7,611,
2016/09/19,Kommetjie,deepest/adult,1,NA,4.1,28,16,245,3.6,486,25.5,8,514,
2016/09/19,Kommetjie,deepest/adult,2,NA,3.9,29,15,214,6.05,587,30,11,616,
2016/09/19,Kommetjie,deepest/adult,3,NA,4.65,26,25,175,7.35,498,34,5,524,
2016/09/19,Kommetjie,deepest/adult,4,NA,2.25,23,12,153,7.55,575,32,8,598,
2016/09/19,Kommetjie,deepest/adult,5,NA,5.8,25,23,192,5.75,507,37,6,532,
2016/09/19,Kommetjie,deepest/adult,6,NA,4.5,26,21,187,6.25,467,44,7,493,
2016/09/19,Kommetjie,deepest/adult,7,NA,3,25,22,109,4.75,380,39,4,405,
2016/09/19,Kommetjie,deepest/adult,8,NA,6.5,16,37,191,6.65,445,57.5,8,461,
2016/09/19,Kommetjie,deepest/adult,9,NA,5.9,22,23,239,7.35,412,41,6,434,
2016/09/19,Kommetjie,deepest/adult,10,NA,6.5,20,27,202,4.15,494,37,7,514,
2016/09/19,Kommetjie,deepest/adult,11,NA,2.6,24,19,179,6.35,576,39,7,600,
2016/09/19,Kommetjie,deepest/adult,12,NA,6.8,18,27,227,7.85,501,42,6,519,
2016/09/19,Kommetjie,deepest/adult,13,NA,4.8,22,24,176,6.85,552,40,5,574,
05-04-2018,Oudekraal,deep/adult,1,Yes,4.2,27,14,170,0.6,74,18,6,0,271
05-04-2018,Oudekraal,deep/adult,2,Yes,3.3,30,14,167,0.65,54,24,4,0,251
05-04-2018,Oudekraal,deep/adult,3,Yes,3.25,22,9,153,0.8,113,17,5,0,288
05-04-2018,Oudekraal,deep/adult,4,No,0.45,25,6,46,0.2,50,9,6,0,121
05-04-2018,Oudekraal,deep/adult,5,Yes,2.45,20,15,110,0.4,55,19,4,0,185
05-04-2018,Oudekraal,deep/adult,6,Yes,2.9,22,7,111,0.75,127,13,7,0,260
05-04-2018,Oudekraal,deep/adult,7,No,3.65,19,6,111,0.7,122,13,5,0,252
05-04-2018,Oudekraal,deep/adult,8,Yes,3.65,22,12,134,3.6,72,16,5,0,228
05-04-2018,Oudekraal,deep/adult,9,Yes,4.6,23,11,137,0.85,93,16,5,0,253
05-04-2018,Oudekraal,deep/adult,10,Yes,5.2,15,22,128,0.7,56,22,3,0,199
05-04-2018,Oudekraal,deep/adult,11,No,2.5,14,6,151,0.7,134,12,4,0,299
05-04-2018,Oudekraal,deep/adult,12,No,1.5,25,8,160,0.45,75,12,5,0,260
05-04-2018,Oudekraal,deep/adult,13,No,1.65,25,6,117,0.45,96,11,6,0,238
04-05-2018,Miller's PointA,deep/adult,1,Yes,1.8,22,17,150,1.35,185,17,4,1,357
04-05-2018,Miller's PointA,deep/adult,2,Yes,1.65,21,8,99,1.55,185,13,5,1,305
